Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
September,10,1857,St. Mary's Catholic Church,French Mountaineer Singers,French Mountaineer Singers,,1
June,25,1869,Menger Hotel,General Mason Farewell Party: San Antonio Brass Band,San Antonio Brass Band,General Mason Farewell Party,2
July,4,1874,San Pedro Park,San Antonio Brass Band,San Antonio Brass Band,,3
October,9,1874,"San Pedro Springs, Turner Hall",Tenth Texas Saengerfest,Tenth Texas Saengerfest,,4
October,10,1874,"Casino Hall, Turner Hall",Tenth Texas Saengerfest,Tenth Texas Saengerfest,,5
October,11,1874,"San Pedro Springs, Alamo Plaza, Casino Hall",Tenth Texas Saengerfest,Tenth Texas Saengerfest,,6
January,24,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,7
January,31,1883,Casino Hall,Fay Templeton and the Star Opera Company,Fay Templeton and the Star Opera Company,,8
February,1,1883,Casino Hall,Fay Templeton and the Star Opera Company,Fay Templeton and the Star Opera Company,,9
February,1,1883,Turner Hall,Charlotte Thompson,Charlotte Thompson,,10
February,2,1883,Turner Hall,Charlotte Thompson,Charlotte Thompson,,11
February,2,1883,Casino Hall,Eighth Cavalry Band,Eighth Cavalry Band,,12
February,3,1883,Turner Hall,Charlotte Thompson,Charlotte Thompson,,13
February,20,1883,Turner Hall,Lillian Spencer,Lillian Spencer,,14
February,21,1883,Turner Hall,Lillian Spencer,Lillian Spencer,,15
February,28,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,16
March,1,1883,Turner Hall,Angela Peralta,Angela Peralta,,17
March,3,1883,Turner Hall,Angela Peralta,Angela Peralta,,18
March,5,1883,Turner Hall,Angela Peralta,Angela Peralta,,19
March,7,1883,Turner Hall,Angela Peralta,Angela Peralta,,20
March,14,1883,Turner Hall,"Katie Putnam, Lena the Madcap",Katie Putnam,,21
March,14,1883,Turner Hall,"Katie Putnam, Lena the Madcap",Lena the Madcap,,21
March,22,1883,Turner Hall,"""Blind Tom"" Wiggins (piano)",Blind Tom Wiggins (piano),,22
March,23,1883,Turner Hall,"""Blind Tom"" Wiggins (piano)",Blind Tom Wiggins (piano),,23
March,24,1883,Turner Hall,"""Blind Tom"" Wiggins (piano)",Blind Tom Wiggins (piano),,24
March,24,1883,San Pedro Springs Park,San Pedro Springs Park Grand Opening: Eighth Cavalry Band,Eighth Cavalry Band,San Pedro Springs Park Grand Opening,25
