id,name,address,city,state,zip,longitude,latitude
1,1033 Club,1033 Avenue B,San Antonio,Texas,78215,-98.480763,29.4361164387879
2,151 Saloon,10619 Westover Hills Blvd,San Antonio,Texas,78215,-98.690386,29.464097
3,1902 Nightclub,1174 East Commerce St,San Antonio,Texas,78205,-98.478249,29.420607
4,210 Kapone's,1223 East Houston,San Antonio,Texas,78205,-98.47844,29.42519
5,4th Quarter Sports Bar,8779 Wurzbach Rd,San Antonio,Texas,78240,-98.569389,29.524564
6,502 Bar,502 Embassy Oaks,San Antonio,Texas,78216,-98.487687,29.563489
7,Abracadabra,Central Park Mall,San Antonio,Texas,78216,-98.495141,29.4246
8,Acapulco Sam's,212 College Street,San Antonio,Texas,78205,-98.489205,29.425725
9,Accents,6700 N New Braunfels Ave,San Antonio,Texas,78209,-98.45581,29.48484
10,Acquarium III,1929 La Manda,San Antonio,Texas,78201,-98.527021,29.486839
11,After Midnight,3719 Blanco Rd,San Antonio,Texas,78212,-98.50864,29.481287
12,Aggie Park,6205 West Ave.,San Antonio,Texas,78213,-98.526667,29.518624
13,Alameda Theater,512 W. Houston,San Antonio,Texas,78207,-98.521993,29.42543
14,Alamo Beer Company,202 Lamar St,San Antonio,Texas,78202,-98.458731,29.426962
15,Alamo City Music Hall,1305 E. Houston St.,San Antonio,Texas,78205,-98.47705,29.425165
16,Alamo Ice House,802 N. Alamo St.,San Antonio,Texas,78215,-98.481567,29.431847
17,Alamodome,100 Montana St.,San Antonio,Texas,78203,-98.478756,29.416871
18,Aldaco's Mexican Restaurant,1141 East Commerce St,San Antonio,Texas,78205,-98.479033,29.422018
19,Aldo's Ristorante Italian,8539 Fredericksburg Rd.,San Antonio,Texas,78229,-98.573751,29.520491
20,Alexander's Bar and Café,3422 N. St. Mary's,San Antonio,Texas,78212,-62.184068,16.653923
21,Alfred's,2308 Blanco Road,San Antonio,Texas,78212,-98.507631,29.467833
22,Anaqua Room,555 Alamo St.,San Antonio,Texas,78205,-98.486051,29.42818
23,Andrew's 281 Live,13307 San Pedro Ave.,San Antonio,Texas,78216,-98.481527,29.562078
24,Anhalt Hall,2390 Anhalt Rd.,Spring Branch,Texas,78070,-98.478884,29.813902
25,Annie & Ed's,2016 Austin HWY,San Antonio,Texas,78218,-98.417823,29.502353
26,Antonio Strad Violin,7530 Bandera Rd #108,San Antonio,Texas,78238,-98.628778,29.507923
27,Apple Tree Lounge,518 E. Blanco,Boerne,Texas,78006,-98.68985,29.83651
28,Aquariaum Disco,1929 La Manda,San Antonio,Texas,78201,-98.527021,29.486839
29,Aragon Blue Room,1603 N. Colorado,San Antonio,Texas,78201,-98.534244,29.482984
30,Arjon's International Club,8736 Tesoro Dr.,San Antonio,Texas,78217,-98.45499,29.518939
31,Arneson River Theatre,418 Villita St.,San Antonio,Texas,78205,-98.488901,29.421384
32,Arthur's,4001 Broadway,San Antonio,Texas,78209,-98.4658,29.463437
33,Artisan on Alamo Distillery,315 8th St.,San Antonio,Texas,78215,-98.482338,29.432039
34,Artpace San Antonio,445 N. Main Ave.,San Antonio,Texas,78205,-98.49431,29.429827
35,AT&T Center,1 AT&T Center Parkway,San Antonio,Texas,78219,-98.437492,29.426981
36,Avalon Grill,509.5 East Commerce,San Antonio,Texas,78205,-98.495141,29.4246
37,Aztec Theatre,201 E. Commerce St. ,San Antonio,Texas,78205,-98.491058,29.424683
38,Azuca Nuevo Latino Restaurant & Bar,709 S Alamo St.,San Antonio,Texas,78205,-98.488644,29.417134
39,Backstage Live,1305 E. Houston St.,San Antonio,Texas,78205,-98.477108,29.425226
40,Backyard on Broadway,2415 Broadway,San Antonio,Texas,78215,-98.475231,29.448812
41,Badlands Saloon,522 Riverwalk,San Antonio,Texas,78205,-98.48855,29.424314
42,Bamboo Room,3301 S. Gevers,San Antonio,Texas,78210,-98.45707,29.38715
43,Bar 414,205 E Houston St.,San Antonio,Texas,78205,-98.491,29.426958
44,Bar America,723 S Alamo St,San Antonio,Texas,78205,-98.488773,29.416719
45,Bar Rojo at The Grand Hyatt Hotel,600 E. Market St.,San Antonio,Texas,78205,-98.483946,29.421639
46,Barclay's Piano Bar,2615 Mossrock,San Antonio,Texas,78230,-98.577415,29.54797
47,Barriba Cantina,111 W Crockett St #214,San Antonio,Texas,78205,-98.489094,29.425241
48,Beethoven Maennerchor Halle Und Garten,422 Pereida St,San Antonio,Texas,78210,-98.491764,29.411714
49,Bentley's,802 N. Alamo St.,San Antonio,Texas,78215,-98.481514,29.431832
50,Beto's Comida Latina,8142 Broadway St,San Antonio,Texas,78209,-98.465905,29.511278
51,Bier Garten Riverwalk,126 Losoya Street,San Antonio,Texas,78205,-98.487766,29.425609
52,Big Band Fun Club,9821 Colonnade,San Antonio,Texas,78230,-98.559125,29.502351
53,Big Bob's Burgers,​447 W. Hildebrand Ave. ,San Antonio,Texas,78212,-98.511348,29.46646
54,Big Texas Ice House,16620 San Pedro Ave #1,San Antonio,Texas,78232,-98.470183,29.593178
55,Bihl Haus Arts,2803 Fredericksburg Rd,San Antonio,Texas,78201,-98.531612,29.469665
56,Billy Blues BBQ,330 East Grayson,San Antonio,Texas,78215,-98.477389,29.443545
57,Billy D's Club,1805 Pat Booker Road,San Antonio,Texas,78148,-98.308273,29.552775
58,Billy Marbles,409 East Commerce,San Antonio,Texas,78205,-98.488567,29.424114
59,BJ's Night Club,2710 East Commerce,San Antonio,Texas,78203,-98.449339,29.419216
60,Black Canteen,605 VFW Blvd,San Antonio,Texas,78214,-98.48027,29.367135
61,Black Clover Pub,3030 Thousand Oaks,San Antonio,Texas,78247,-98.451421,29.585041
62,Black Orchid,2726 N St. Mary's,San Antonio,Texas,78212,-98.486169,29.450903
63,Blanco Ballroom,3719 Blanco Rd,San Antonio,Texas,78212,-98.508962,29.481275
64,Blind Tiger Comedy Club,902 NE Interstate 410 Loop,San Antonio,Texas,78209,-98.427862,29.531482
65,Bluebonnet Palace,17630 Lookout Rd,Schertz,Texas,78154,-98.297618,29.600872
66,Blue Note Club,2102 Blanco,San Antonio,Texas,78212,-98.49126,29.452192
67,Blue Note Lounge,2547 East Commerce,San Antonio,Texas,78203,-98.45481,29.414071
68,Blue Star Brewing Co.,1414 S Alamo St,San Antonio,Texas,78210,-98.495346,29.409663
69,Boardwalk Bistro,4011 Broadway,San Antonio,Texas,78209,-98.465834,29.463749
70,Bogart's,11341 West Avenue,San Antonio,Texas,78216,-98.512402,29.542928
71,Bohanan's Prime Steaks & Seafood,219 E Houston St ,San Antonio,Texas,78205,-98.490525,29.426677
72,Boiler House Texas Grill & Wine Garden,"312 Pearl Pkwy., Bldg. 3 ",San Antonio,Texas,78215,-98.480251,29.443165
73,Bombay Bicycle Club,3506 N St Mary's St,San Antonio,Texas,78212,-98.485251,29.402692
74,Bond's 007 Rock Bar,450 Soledad St,San Antonio,Texas,78205,-98.493127,29.429727
75,Bone Club,828 San Pedro,San Antonio,Texas,78212,-98.479944,29.55961
76,Bonesshakers Tap House and Pizzeria,306 Austin Street,San Antonio,Texas,78215,-98.482663,29.450211
77,Bonham Exchange,411 Bonham,San Antonio,Texas,78205,-98.484451,29.426719
78,Bonnie Jean's,5118 Fredericksburg,San Antonio,Texas,78229,-98.5813429,29.511125
79,Boozehounds,8531 Perrin Beitel Rd,San Antonio,Texas,78217,-98.411052,29.517655
80,Bo's Rodeo,Hwy 173,Bandera,Texas,78003,-99.072459,29.727007
81,Botika Peruvian-Asian Restaurant,"The Pearl, 303 Pearl Pkwy #111",San Antonio,Texas,78215,-98.47996,29.442498
82,Bottom Bracket Social Club,1603 N Colorado St.,San Antonio,Texas,78201,-98.509292,29.442701
83,Bottom Line,1164 East Commerce,San Antonio,Texas,78205,-98.47863,29.42149
84,Boudro’s Texas Bistro,421 E. Commerce St.,San Antonio,Texas,78205,-98.488337,29.424058
85,Bowlero,13307 San Pedro Ave.,San Antonio,Texas,78216,-98.484859,29.562625
86,Brandi's Piano Bar,5152 Fredericksburg,San Antonio,Texas,78229,-98.5813429,29.511125
87,Brass Monkey,2702 N St Mary's St,San Antonio,Texas,78212,-98.486915,29.450244
88,Braun Hall,9721 Braun Rd ,San Antonio,Texas,78254,-98.655157,29.616585
89,Brazakka's Reef,5223 Blanco Road,San Antonio,Texas,78216,-98.516711,29.551812
90,Brews Brothers,7403 Leslie Rd ,San Antonio,Texas,78254,-98.699274,29.508356
91,Brick at Blue Star Arts Complex,108 Blue Star ,San Antonio,Texas,78204,-98.495616,29.409467
92,Briscoe Western Art Museum,210 W. Market St. ,San Antonio,Texas,78205,-98.489009,29.422921
93,Broad Street,258 Central  Park Mall,San Antonio,Texas,78216,-98.5017004,29.5184561
94,Broadway Turk's,1826 N New Braunfels,San Antonio,Texas,78208,-98.46096,29.398065
95,Brooklyn Street Bar and Grill,516 Brooklyn Street,San Antonio,Texas,78215,-98.482663,29.450211
96,Brooks Pub,3354 Lasses Blvd,San Antonio,Texas,78223,-98.4339,29.355304
97,Brooster's Backyard IceHouse,815 Pleasanton Rd,San Antonio,Texas,78214,-98.51699,29.31194
98,Buckley's Jazz Bar,5500 Babcock,San Antonio,Texas,78240,-98.597357,29.517233
99,Bucko's Boardroom,2714 N. St. Mary's,San Antonio,Texas,78212,-98.48675,29.450667
100,Buddy's Ize House,1920 N. Main Avenue,San Antonio,Texas,78212,-98.494226,29.447843
101,Budro's,4211 Sungate Drive,San Antonio,Texas,78217,-98.457242,29.524766
102,Bull Moose,6501 N Blanco Rd,San Antonio,Texas,78216,-98.481527,29.562078
103,Burgundy Woods,2379 NE Loop 410,San Antonio,Texas,78217,-98.41911,29.51988
104,Burleson Yard Beer Garden,430 Austin St,San Antonio,Texas,78215,-98.47839,29.432553
105,Burnhouse Cigar & Martini Lounge,4553 North Loop 1604 W #122,San Antonio,Texas,78249,-98.574274,29.596033
106,Burro Land,800 Cincinatti,San Antonio,Texas,78201,-98.534244,29.482984
107,Bwana Dik,421 East Commerce,San Antonio,Texas,78205,-98.488339,29.424078
108,Cabaret,801 N. Main Street,Bandera,Texas,78003,-99.072459,29.727007
109,Cactus Beer Garden,2913 N. St. Mary's,San Antonio,Texas,78212,-98.49126,29.452192
110,Cactusland Brewery,368 County Rd 325 b,Adkins,Texas,78101,-98.254405,29.289989
111,Cadillac Bar,212 South Flores,San Antonio,Texas,78204,-98.494967,29.422308
112,Cafe Americain,2714 N. St. Mary's,San Antonio,Texas,78212,-98.48675,29.450667
113,Cafe Shalom International Coffee House,103 West Rampart,San Antonio,Texas,78216,-98.49428,29.51401
114,Caliente Harley-Davidson,7230 NW Loop 410,San Antonio,Texas,78245,-98.630222,29.450938
115,Cameo Theater,1123 East Commerce,San Antonio,Texas,78205,-98.479326,29.422148
116,Candlelight Coffeehouse & Wine Bar,3011 N Saint Marys St,San Antonio,Texas,78212,-98.484648,29.452984
117,Cantina del Rio,200 S Alamo St,San Antonio,Texas,78205,-98.487846,29.422428
118,Cardi's,1534 Bandera Road,San Antonio,Texas,78228,,
119,Carlsbad Tavern,11407 West Ave ,San Antonio,Texas,78213,,
120,Carmen's de la Calle,320 N Flores St,San Antonio,Texas,78205,-98.494182,29.427963
121,Carousel Court Shopping Center,"1836 Nacogdoches Rd, ",San Antonio,Texas,78209,-98.458157,29.505124
122,The Carver Community Cultural Center – The Jo Long Theatre for Performing Arts,226 N Hackberry,San Antonio,Texas,78202,-98.472462,29.421692
123,Casablanca,1929 La Manda St,San Antonio,Texas,78201,-98.534244,29.482984
124,Casbeers,1719 Blanco Road,San Antonio,Texas,78212,-98.51213,29.48627
125,Casbeers at the Church,1150 South Alamo,San Antonio,Texas,78205,-98.492949,29.411452
126,Casey's Saloon and Dance,Riverwalk,San Antonio,Texas,78205,-98.4884669728261,29.4242555
127,Casino Club,N Zarzamora St & Culebra Rd,San Antonio,Texas,78201,-98.524926042683,29.4453977354397
128,Castle Hills Market Shopping Center (Two locations - (2211 NW Military Highway),2195 NW Military Hwy,San Antonio,Texas,78213,-98.521949,29.532999
129,Cattlemen Square Tavern,904 West Houston,San Antonio,Texas,78207,,
130,Chance Are Lounge,743 Historic Old Hwy 90,San Antonio,Texas,78237,-98.576454,29.425384
131,Chandelier Club,3418 Eisenhauer,San Antonio,Texas,78218,-98.4162499,29.501472
132,Charlie Brown's Neighborhood Bar & Grill,11888 Starcrest Dr #101,San Antonio,Texas,78247,-98.461145,29.548179
133,Charline McCombs Empire Theatre,226 N. St. Mary's St.,San Antonio,Texas,78205,-98.490586,29.426265
134,Chaser's,13550 O'Connor Road,San Antonio,Texas,78233,-98.37916,29.54863
135,Cheers,3625 West Avenue,San Antonio,Texas,78213,-98.554005,29.495579
